# 0.777288
中	CHN	丨	O/0.999771	O/0.999771	R-B/0.000229	R-I/0.000000
气	CHN	气	O/0.999627	O/0.999627	R-B/0.000162	R-I/0.000211
2	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
天	CHN	大	O/0.999980	O/0.999980	R-B/0.000020	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
于	CHN	二	O/0.999989	O/0.999989	R-B/0.000011	R-I/0.000000
2	NUM	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
6	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999991	O/0.999991	R-B/0.000009	R-I/0.000000
3	NUM	-	O/0.999992	O/0.999992	R-B/0.000003	R-I/0.000004
-	PUNC	-	O/0.999992	O/0.999992	R-B/0.000001	R-I/0.000007
3	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000

# 0.935800
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
女	CHN	女	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
性	CHN	忄	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
4	NUM	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
8	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
岁	CHN	山	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
现	CHN	王	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
住	CHN	亻	O/0.999980	O/0.999980	R-B/0.000020	R-I/0.000000
河	CHN	氵	O/0.999967	O/0.999967	R-B/0.000019	R-I/0.000014
北	CHN	匕	O/0.999974	O/0.999974	R-B/0.000010	R-I/0.000016
省	CHN	目	O/0.999992	O/0.999992	R-B/0.000004	R-I/0.000004
承	CHN	手	O/0.999993	O/0.999993	R-B/0.000007	R-I/0.000000
德	CHN	彳	O/0.999992	O/0.999992	R-B/0.000007	R-I/0.000001
市	CHN	巾	O/0.999996	O/0.999996	R-B/0.000003	R-I/0.000001
双	CHN	又	O/0.999986	O/0.999986	R-B/0.000014	R-I/0.000000
滦	CHN	氵	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
区	CHN	匚	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
主	CHN	丶	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
因	CHN	囗	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
打	CHN	扌	O/0.999988	O/0.999988	R-B/0.000012	R-I/0.000000
伤	CHN	亻	O/0.999977	O/0.999977	R-B/0.000013	R-I/0.000011
后	CHN	口	O/0.999777	O/0.999777	R-B/0.000218	R-I/0.000004
头	CHN	大	R-B/0.999900	O/0.000098	R-B/0.999900	R-I/0.000002
痛	CHN	疒	R-I/0.995996	O/0.003754	R-B/0.000249	R-I/0.995996
头	CHN	大	R-B/0.994378	O/0.004954	R-B/0.994378	R-I/0.000669
晕	CHN	日	R-I/0.981730	O/0.018166	R-B/0.000104	R-I/0.981730
,	PUNC	-	O/0.999997	O/0.999997	R-B/0.000000	R-I/0.000003
身	CHN	身	O/0.987541	O/0.987541	R-B/0.012454	R-I/0.000004
体	CHN	亻	O/0.988440	O/0.988440	R-B/0.000139	R-I/0.011421
多	CHN	夕	O/0.992872	O/0.992872	R-B/0.002797	R-I/0.004331
处	CHN	夂	O/0.998928	O/0.998928	R-B/0.000022	R-I/0.001050
疼	CHN	疒	R-B/0.999993	O/0.000006	R-B/0.999993	R-I/0.000001
痛	CHN	疒	R-I/0.999991	O/0.000005	R-B/0.000004	R-I/0.999991
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
渗	CHN	氵	R-B/0.974467	O/0.025533	R-B/0.974467	R-I/0.000000
血	CHN	血	R-I/0.974226	O/0.025095	R-B/0.000678	R-I/0.974226
2	NUM	-	O/0.998584	O/0.998584	R-B/0.000002	R-I/0.001414
小	CHN	小	O/0.999984	O/0.999984	R-B/0.000005	R-I/0.000011
时	CHN	日	O/0.999995	O/0.999995	R-B/0.000003	R-I/0.000002
于	CHN	二	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
2	NUM	-	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
0	NUM	-	O/0.999998	O/0.999998	R-B/0.000001	R-I/0.000001
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
6	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
年	CHN	干	O/0.999976	O/0.999976	R-B/0.000024	R-I/0.000000
8	NUM	-	O/0.999993	O/0.999993	R-B/0.000007	R-I/0.000000
月	CHN	月	O/0.999946	O/0.999946	R-B/0.000048	R-I/0.000006
2	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
5	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
日	CHN	日	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/0.999967	O/0.999967	R-B/0.000033	R-I/0.000000

# 0.991118
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
青	CHN	青	O/0.999989	O/0.999989	R-B/0.000011	R-I/0.000000
年	CHN	干	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
男	CHN	田	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
性	CHN	忄	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
2	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
5	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
岁	CHN	山	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
河	CHN	氵	O/0.999825	O/0.999825	R-B/0.000175	R-I/0.000000
北	CHN	匕	O/0.999903	O/0.999903	R-B/0.000002	R-I/0.000095
省	CHN	目	O/0.999964	O/0.999964	R-B/0.000011	R-I/0.000025
承	CHN	手	O/0.999985	O/0.999985	R-B/0.000010	R-I/0.000006
德	CHN	彳	O/0.999991	O/0.999991	R-B/0.000006	R-I/0.000002
市	CHN	巾	O/0.999998	O/0.999998	R-B/0.000001	R-I/0.000001
双	CHN	又	O/0.999980	O/0.999980	R-B/0.000020	R-I/0.000000
滦	CHN	氵	O/0.999995	O/0.999995	R-B/0.000001	R-I/0.000004
区	CHN	匚	O/0.999998	O/0.999998	R-B/0.000001	R-I/0.000000
人	CHN	人	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
现	CHN	王	O/0.999985	O/0.999985	R-B/0.000015	R-I/0.000000
住	CHN	亻	O/0.999826	O/0.999826	R-B/0.000161	R-I/0.000013
河	CHN	氵	O/0.999838	O/0.999838	R-B/0.000028	R-I/0.000134
北	CHN	匕	O/0.999903	O/0.999903	R-B/0.000010	R-I/0.000087
省	CHN	目	O/0.999980	O/0.999980	R-B/0.000004	R-I/0.000016
承	CHN	手	O/0.999992	O/0.999992	R-B/0.000007	R-I/0.000001
德	CHN	彳	O/0.999992	O/0.999992	R-B/0.000007	R-I/0.000001
市	CHN	巾	O/0.999996	O/0.999996	R-B/0.000003	R-I/0.000001
双	CHN	又	O/0.999962	O/0.999962	R-B/0.000038	R-I/0.000000
滦	CHN	氵	O/0.999977	O/0.999977	R-B/0.000002	R-I/0.000021
区	CHN	匚	O/0.999984	O/0.999984	R-B/0.000003	R-I/0.000013
三	CHN	一	O/0.999973	O/0.999973	R-B/0.000024	R-I/0.000003
岔	CHN	山	O/0.999941	O/0.999941	R-B/0.000036	R-I/0.000024
口	CHN	口	O/0.999937	O/0.999937	R-B/0.000013	R-I/0.000050
御	CHN	彳	O/0.999878	O/0.999878	R-B/0.000094	R-I/0.000029
景	CHN	日	O/0.999934	O/0.999934	R-B/0.000052	R-I/0.000015
家	CHN	宀	O/0.999992	O/0.999992	R-B/0.000004	R-I/0.000004
园	CHN	囗	O/0.999991	O/0.999991	R-B/0.000004	R-I/0.000006
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
主	CHN	丶	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
因	CHN	囗	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
外	CHN	夕	O/0.999961	O/0.999961	R-B/0.000039	R-I/0.000000
伤	CHN	亻	O/0.999955	O/0.999955	R-B/0.000009	R-I/0.000037
后	CHN	口	O/0.999909	O/0.999909	R-B/0.000083	R-I/0.000007
头	CHN	大	R-B/0.999966	O/0.000032	R-B/0.999966	R-I/0.000002
痛	CHN	疒	R-I/0.995836	O/0.003602	R-B/0.000561	R-I/0.995836
头	CHN	大	R-B/0.999761	O/0.000014	R-B/0.999761	R-I/0.000225
晕	CHN	日	R-I/0.996954	O/0.000969	R-B/0.002077	R-I/0.996954
伴	CHN	亻	O/0.999817	O/0.999817	R-B/0.000002	R-I/0.000181
出	CHN	凵	R-B/0.999999	O/0.000000	R-B/0.999999	R-I/0.000001
血	CHN	血	R-I/0.999868	O/0.000010	R-B/0.000123	R-I/0.999868
3	NUM	-	O/0.999853	O/0.999853	R-B/0.000001	R-I/0.000147
小	CHN	小	O/0.999992	O/0.999992	R-B/0.000007	R-I/0.000001
时	CHN	日	O/0.999989	O/0.999989	R-B/0.000010	R-I/0.000001
于	CHN	二	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
2	NUM	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
7	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
0	NUM	-	O/0.999995	O/0.999995	R-B/0.000005	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/0.999990	O/0.999990	R-B/0.000010	R-I/0.000000
3	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
日	CHN	日	O/0.999988	O/0.999988	R-B/0.000012	R-I/0.000000
1	NUM	-	O/0.999927	O/0.999927	R-B/0.000073	R-I/0.000000
3	NUM	-	O/0.999993	O/0.999993	R-B/0.000000	R-I/0.000007
:	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
0	NUM	-	O/0.999991	O/0.999991	R-B/0.000009	R-I/0.000000
7	NUM	-	O/0.999996	O/0.999996	R-B/0.000000	R-I/0.000004
分	CHN	刀	O/0.999996	O/0.999996	R-B/0.000000	R-I/0.000004
收	CHN	攵	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000

# 0.981619
p	ENG	-	O/0.997713	O/0.997713	R-B/0.002267	R-I/0.000021
;	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
n	ENG	-	O/0.999990	O/0.999990	R-B/0.000010	R-I/0.000000
b	ENG	-	O/0.999993	O/0.999993	R-B/0.000000	R-I/0.000007
s	ENG	-	O/0.999988	O/0.999988	R-B/0.000006	R-I/0.000006
p	ENG	-	O/0.999928	O/0.999928	R-B/0.000060	R-I/0.000012
;	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
右	CHN	口	R-B/0.996629	O/0.003371	R-B/0.996629	R-I/0.000000
腰	CHN	月	R-I/0.985523	O/0.000001	R-B/0.014476	R-I/0.985523
部	CHN	阝	R-I/0.999696	O/0.000302	R-B/0.000003	R-I/0.999696
疼	CHN	疒	R-B/0.999911	O/0.000000	R-B/0.999911	R-I/0.000088
痛	CHN	疒	R-I/0.999999	O/0.000001	R-B/0.000001	R-I/0.999999
伴	CHN	亻	O/0.999517	O/0.999517	R-B/0.000032	R-I/0.000450
发	CHN	又	R-B/0.999604	O/0.000321	R-B/0.999604	R-I/0.000075
热	CHN	灬	R-I/0.999680	O/0.000313	R-B/0.000006	R-I/0.999680
1	NUM	-	O/0.999802	O/0.999802	R-B/0.000083	R-I/0.000114
2	NUM	-	O/0.999887	O/0.999887	R-B/0.000001	R-I/0.000111
小	CHN	小	O/0.999935	O/0.999935	R-B/0.000056	R-I/0.000009
时	CHN	日	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
于	CHN	二	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
2	NUM	-	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
6	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
2	NUM	-	O/0.999993	O/0.999993	R-B/0.000006	R-I/0.000001
@	PUNC	-	O/0.999995	O/0.999995	R-B/0.000002	R-I/0.000004
@	PUNC	-	O/0.999998	O/0.999998	R-B/0.000001	R-I/0.000002
1	NUM	-	O/0.999996	O/0.999996	R-B/0.000003	R-I/0.000001
3	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
:	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
1	NUM	-	O/0.999877	O/0.999877	R-B/0.000121	R-I/0.000002
3	NUM	-	O/0.999882	O/0.999882	R-B/0.000000	R-I/0.000118
收	CHN	攵	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/0.999993	O/0.999993	R-B/0.000007	R-I/0.000000

# 0.999570
断	CHN	斤	O/0.999932	O/0.999932	R-B/0.000068	R-I/0.000000
性	CHN	忄	O/0.999975	O/0.999975	R-B/0.000001	R-I/0.000024
疼	CHN	疒	R-B/0.999998	O/0.000001	R-B/0.999998	R-I/0.000001
痛	CHN	疒	R-I/0.999999	O/0.000001	R-B/0.000000	R-I/0.999999
1	NUM	-	O/0.999998	O/0.999998	R-B/0.000000	R-I/0.000002
天	CHN	大	O/0.999994	O/0.999994	R-B/0.000005	R-I/0.000000
于	CHN	二	O/0.999998	O/0.999998	R-B/0.000001	R-I/0.000001
2	NUM	-	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
6	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999993	O/0.999993	R-B/0.000007	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
9	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999984	O/0.999984	R-B/0.000016	R-I/0.000000
0	NUM	-	O/0.999846	O/0.999846	R-B/0.000140	R-I/0.000014
6	NUM	-	O/0.999861	O/0.999861	R-B/0.000001	R-I/0.000138
@	PUNC	-	O/0.999876	O/0.999876	R-B/0.000000	R-I/0.000124
1	NUM	-	O/0.999858	O/0.999858	R-B/0.000061	R-I/0.000081
0	NUM	-	O/0.999860	O/0.999860	R-B/0.000017	R-I/0.000124
:	PUNC	-	O/0.999993	O/0.999993	R-B/0.000000	R-I/0.000007
0	NUM	-	O/0.999890	O/0.999890	R-B/0.000103	R-I/0.000007
0	NUM	-	O/0.999892	O/0.999892	R-B/0.000001	R-I/0.000107
收	CHN	攵	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
。	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000

# 0.998800
肿	CHN	月	R-B/0.999995	O/0.000005	R-B/0.999995	R-I/0.000000
胀	CHN	月	R-I/0.999519	O/0.000253	R-B/0.000228	R-I/0.999519
疼	CHN	疒	R-B/0.999605	O/0.000001	R-B/0.999605	R-I/0.000394
痛	CHN	疒	R-I/0.999978	O/0.000007	R-B/0.000015	R-I/0.999978
5	NUM	-	O/0.999955	O/0.999955	R-B/0.000031	R-I/0.000014
天	CHN	大	O/0.999977	O/0.999977	R-B/0.000014	R-I/0.000009
于	CHN	二	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
2	NUM	-	O/0.999991	O/0.999991	R-B/0.000009	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
7	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999996	O/0.999996	R-B/0.000003	R-I/0.000000
0	NUM	-	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
3	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
-	PUNC	-	O/0.999993	O/0.999993	R-B/0.000005	R-I/0.000002
-	PUNC	-	O/0.999896	O/0.999896	R-B/0.000097	R-I/0.000007
0	NUM	-	O/0.999779	O/0.999779	R-B/0.000119	R-I/0.000103
5	NUM	-	O/0.999775	O/0.999775	R-B/0.000000	R-I/0.000225
收	CHN	攵	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000

# 0.946479
内	CHN	冂	O/0.967963	O/0.967963	R-B/0.031567	R-I/0.000470
疼	CHN	疒	R-B/0.974919	O/0.021326	R-B/0.974919	R-I/0.003754
痛	CHN	疒	R-I/0.978648	O/0.021346	R-B/0.000005	R-I/0.978648
4	NUM	-	O/0.999872	O/0.999872	R-B/0.000001	R-I/0.000127
天	CHN	大	O/0.999956	O/0.999956	R-B/0.000001	R-I/0.000042
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000

# 0.999932
疼	CHN	疒	R-B/1.000000	O/0.000000	R-B/1.000000	R-I/0.000000
痛	CHN	疒	R-I/0.999967	O/0.000032	R-B/0.000001	R-I/0.999967
2	NUM	-	O/0.999975	O/0.999975	R-B/0.000000	R-I/0.000024
小	CHN	小	O/0.999983	O/0.999983	R-B/0.000004	R-I/0.000013
时	CHN	日	O/0.999980	O/0.999980	R-B/0.000005	R-I/0.000015
收	CHN	攵	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000

# 0.999999
3	NUM	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
年	CHN	干	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000

# 0.695730
1	NUM	-	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
年	CHN	干	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
发	CHN	又	O/0.999718	O/0.999718	R-B/0.000282	R-I/0.000000
现	CHN	王	O/0.999871	O/0.999871	R-B/0.000010	R-I/0.000119
膀	CHN	月	R-B/0.999946	O/0.000030	R-B/0.999946	R-I/0.000024
胱	CHN	月	R-I/0.999933	O/0.000029	R-B/0.000038	R-I/0.999933
结	CHN	纟	R-I/0.996622	O/0.003152	R-B/0.000225	R-I/0.996622
石	CHN	石	R-I/0.995196	O/0.004804	R-B/0.000000	R-I/0.995196
2	NUM	-	O/0.700936	O/0.700936	R-B/0.000162	R-I/0.298902
天	CHN	大	O/0.704623	O/0.704623	R-B/0.000012	R-I/0.295365
收	CHN	攵	O/0.999844	O/0.999844	R-B/0.000001	R-I/0.000155
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000

# 0.999656
2	NUM	-	O/0.999990	O/0.999990	R-B/0.000009	R-I/0.000001
余	CHN	人	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
年	CHN	干	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
加	CHN	力	O/0.999924	O/0.999924	R-B/0.000076	R-I/0.000000
重	CHN	里	O/0.999924	O/0.999924	R-B/0.000001	R-I/0.000075
1	NUM	-	O/0.999990	O/0.999990	R-B/0.000009	R-I/0.000000
0	NUM	-	O/0.999989	O/0.999989	R-B/0.000002	R-I/0.000009
余	CHN	人	O/0.999939	O/0.999939	R-B/0.000057	R-I/0.000004
天	CHN	大	O/0.999896	O/0.999896	R-B/0.000067	R-I/0.000037
于	CHN	二	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
2	NUM	-	O/0.999991	O/0.999991	R-B/0.000009	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
7	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999996	O/0.999996	R-B/0.000004	R-I/0.000000
0	NUM	-	O/0.999998	O/0.999998	R-B/0.000001	R-I/0.000001
2	NUM	-	O/0.999997	O/0.999997	R-B/0.000001	R-I/0.000002
-	PUNC	-	O/0.999987	O/0.999987	R-B/0.000010	R-I/0.000003
-	PUNC	-	O/0.999929	O/0.999929	R-B/0.000058	R-I/0.000013
1	NUM	-	O/0.999904	O/0.999904	R-B/0.000022	R-I/0.000074
0	NUM	-	O/0.999895	O/0.999895	R-B/0.000001	R-I/0.000105
收	CHN	攵	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000

# 0.735530
痛	CHN	疒	R-B/0.792090	O/0.169369	R-B/0.792090	R-I/0.038541
伴	CHN	亻	O/0.999911	O/0.999911	R-B/0.000040	R-I/0.000048
