# 0.000976
①	OTHER	O/0.944913	Bo-B/0.006526	Bo-I/0.006098	Ch-B/0.005691	Ch-I/0.003847	DT-B/0.001284	DT-I/0.001297	O/0.944913	Si-B/0.002545	Si-I/0.001000	Sy-B/0.008803	Sy-I/0.011777	Tr-B/0.001827	Tr-I/0.001805	unct-B/0.001245	unct-I/0.001342
供	CHN	Si-I/0.756574	Bo-B/0.000018	Bo-I/0.006458	Ch-B/0.000078	Ch-I/0.012700	DT-B/0.000009	DT-I/0.000111	O/0.015078	Si-B/0.003511	Si-I/0.756574	Sy-B/0.000659	Sy-I/0.200893	Tr-B/0.000089	Tr-I/0.003159	unct-B/0.000035	unct-I/0.000626
血	CHN	Si-I/0.761789	Bo-B/0.000009	Bo-I/0.004450	Ch-B/0.000246	Ch-I/0.011985	DT-B/0.000007	DT-I/0.000094	O/0.015083	Si-B/0.000420	Si-I/0.761789	Sy-B/0.001189	Sy-I/0.200774	Tr-B/0.000236	Tr-I/0.003008	unct-B/0.000030	unct-I/0.000679
不	CHN	Si-I/0.756212	Bo-B/0.000145	Bo-I/0.001249	Ch-B/0.000024	Ch-I/0.010405	DT-B/0.000014	DT-I/0.000255	O/0.024768	Si-B/0.000123	Si-I/0.756212	Sy-B/0.000411	Sy-I/0.201195	Tr-B/0.000267	Tr-I/0.003800	unct-B/0.000028	unct-I/0.001103
足	CHN	Si-I/0.755824	Bo-B/0.000025	Bo-I/0.001464	Ch-B/0.000022	Ch-I/0.008800	DT-B/0.000020	DT-I/0.000552	O/0.027136	Si-B/0.000013	Si-I/0.755824	Sy-B/0.000063	Sy-I/0.200136	Tr-B/0.000018	Tr-I/0.004647	unct-B/0.000017	unct-I/0.001264
?	PUNC	O/0.997146	Bo-B/0.000004	Bo-I/0.000003	Ch-B/0.000021	Ch-I/0.000009	DT-B/0.000005	DT-I/0.000003	O/0.997146	Si-B/0.000023	Si-I/0.002696	Sy-B/0.000010	Sy-I/0.000057	Tr-B/0.000005	Tr-I/0.000005	unct-B/0.000005	unct-I/0.000008
低	CHN	Si-B/0.726669	Bo-B/0.000955	Bo-I/0.000003	Ch-B/0.054358	Ch-I/0.000191	DT-B/0.000598	DT-I/0.000021	O/0.206370	Si-B/0.726669	Si-I/0.002836	Sy-B/0.003116	Sy-I/0.000024	Tr-B/0.004074	Tr-I/0.000017	unct-B/0.000752	unct-I/0.000015
血	CHN	Si-I/0.728313	Bo-B/0.000077	Bo-I/0.000324	Ch-B/0.003160	Ch-I/0.057022	DT-B/0.000022	DT-I/0.000453	O/0.200101	Si-B/0.000182	Si-I/0.728313	Sy-B/0.002509	Sy-I/0.002902	Tr-B/0.000644	Tr-I/0.003785	unct-B/0.000021	unct-I/0.000485
糖	CHN	Si-I/0.722971	Bo-B/0.000064	Bo-I/0.000427	Ch-B/0.000103	Ch-I/0.061070	DT-B/0.000039	DT-I/0.001036	O/0.203088	Si-B/0.000086	Si-I/0.722971	Sy-B/0.000115	Sy-I/0.005469	Tr-B/0.000049	Tr-I/0.004812	unct-B/0.000035	unct-I/0.000636
?	PUNC	O/0.997182	Bo-B/0.000013	Bo-I/0.000035	Ch-B/0.000012	Ch-I/0.000083	DT-B/0.000006	DT-I/0.000005	O/0.997182	Si-B/0.000009	Si-I/0.002551	Sy-B/0.000015	Sy-I/0.000032	Tr-B/0.000008	Tr-I/0.000023	unct-B/0.000007	unct-I/0.000017
②	OTHER	O/0.996559	Bo-B/0.000088	Bo-I/0.000015	Ch-B/0.000243	Ch-I/0.000021	DT-B/0.000113	DT-I/0.000013	O/0.996559	Si-B/0.000502	Si-I/0.001764	Sy-B/0.000329	Sy-I/0.000032	Tr-B/0.000206	Tr-I/0.000019	unct-B/0.000074	unct-I/0.000022
高	CHN	Si-B/0.997137	Bo-B/0.000007	Bo-I/0.000001	Ch-B/0.000019	Ch-I/0.000002	DT-B/0.000012	DT-I/0.000002	O/0.001425	Si-B/0.997137	Si-I/0.001355	Sy-B/0.000010	Sy-I/0.000001	Tr-B/0.000016	Tr-I/0.000001	unct-B/0.000011	unct-I/0.000001
血	CHN	Si-I/0.998738	Bo-B/0.000000	Bo-I/0.000001	Ch-B/0.000174	Ch-I/0.000020	DT-B/0.000000	DT-I/0.000004	O/0.000912	Si-B/0.000130	Si-I/0.998738	Sy-B/0.000007	Sy-I/0.000003	Tr-B/0.000005	Tr-I/0.000003	unct-B/0.000001	unct-I/0.000002
压	CHN	Si-I/0.998546	Bo-B/0.000001	Bo-I/0.000002	Ch-B/0.000002	Ch-I/0.000256	DT-B/0.000000	DT-I/0.000007	O/0.001109	Si-B/0.000028	Si-I/0.998546	Sy-B/0.000004	Sy-I/0.000014	Tr-B/0.000001	Tr-I/0.000021	unct-B/0.000001	unct-I/0.000008
病	CHN	Si-I/0.997498	Bo-B/0.000002	Bo-I/0.000004	Ch-B/0.000003	Ch-I/0.000127	DT-B/0.000001	DT-I/0.000007	O/0.002262	Si-B/0.000040	Si-I/0.997498	Sy-B/0.000000	Sy-I/0.000023	Tr-B/0.000001	Tr-I/0.000024	unct-B/0.000001	unct-I/0.000008
2	NUM	Si-I/0.972414	Bo-B/0.000074	Bo-I/0.000100	Ch-B/0.000049	Ch-I/0.000024	DT-B/0.000357	DT-I/0.000034	O/0.026418	Si-B/0.000348	Si-I/0.972414	Sy-B/0.000013	Sy-I/0.000015	Tr-B/0.000086	Tr-I/0.000034	unct-B/0.000014	unct-I/0.000019
级	CHN	Si-I/0.967795	Bo-B/0.000059	Bo-I/0.000486	Ch-B/0.000103	Ch-I/0.000226	DT-B/0.000044	DT-I/0.001234	O/0.029202	Si-B/0.000026	Si-I/0.967795	Sy-B/0.000022	Sy-I/0.000055	Tr-B/0.000025	Tr-I/0.000539	unct-B/0.000036	unct-I/0.000151
(	PUNC	O/0.998519	Bo-B/0.000013	Bo-I/0.000009	Ch-B/0.000014	Ch-I/0.000003	DT-B/0.000085	DT-I/0.000047	O/0.998519	Si-B/0.000010	Si-I/0.001199	Sy-B/0.000029	Sy-I/0.000001	Tr-B/0.000016	Tr-I/0.000008	unct-B/0.000017	unct-I/0.000031
高	CHN	DT-B/0.762925	Bo-B/0.019858	Bo-I/0.000007	Ch-B/0.008047	Ch-I/0.000029	DT-B/0.762925	DT-I/0.012202	O/0.085897	Si-B/0.016214	Si-I/0.000569	Sy-B/0.047637	Sy-I/0.000020	Tr-B/0.043536	Tr-I/0.000111	unct-B/0.002833	unct-I/0.000113
危	CHN	DT-I/0.808207	Bo-B/0.000089	Bo-I/0.010472	Ch-B/0.000171	Ch-I/0.006662	DT-B/0.000061	DT-I/0.808207	O/0.079420	Si-B/0.000059	Si-I/0.014534	Sy-B/0.000188	Sy-I/0.040267	Tr-B/0.000078	Tr-I/0.038515	unct-B/0.000052	unct-I/0.001225
)	PUNC	O/0.997960	Bo-B/0.000018	Bo-I/0.000130	Ch-B/0.000015	Ch-I/0.000034	DT-B/0.000011	DT-I/0.001503	O/0.997960	Si-B/0.000007	Si-I/0.000078	Sy-B/0.000009	Sy-I/0.000045	Tr-B/0.000007	Tr-I/0.000028	unct-B/0.000008	unct-I/0.000148
@	PUNC	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
患	CHN	O/0.999391	Bo-B/0.000194	Bo-I/0.000002	Ch-B/0.000072	Ch-I/0.000001	DT-B/0.000179	DT-I/0.000001	O/0.999391	Si-B/0.000074	Si-I/0.000000	Sy-B/0.000015	Sy-I/0.000000	Tr-B/0.000051	Tr-I/0.000000	unct-B/0.000020	unct-I/0.000000
者	CHN	O/0.999785	Bo-B/0.000003	Bo-I/0.000117	Ch-B/0.000004	Ch-I/0.000032	DT-B/0.000001	DT-I/0.000010	O/0.999785	Si-B/0.000002	Si-I/0.000015	Sy-B/0.000002	Sy-I/0.000004	Tr-B/0.000004	Tr-I/0.000019	unct-B/0.000001	unct-I/0.000002
为	CHN	O/0.999957	Bo-B/0.000003	Bo-I/0.000008	Ch-B/0.000005	Ch-I/0.000005	DT-B/0.000000	DT-I/0.000001	O/0.999957	Si-B/0.000002	Si-I/0.000002	Sy-B/0.000005	Sy-I/0.000001	Tr-B/0.000005	Tr-I/0.000004	unct-B/0.000001	unct-I/0.000001
老	CHN	O/0.999873	Bo-B/0.000007	Bo-I/0.000010	Ch-B/0.000013	Ch-I/0.000009	DT-B/0.000002	DT-I/0.000004	O/0.999873	Si-B/0.000020	Si-I/0.000002	Sy-B/0.000027	Sy-I/0.000006	Tr-B/0.000015	Tr-I/0.000007	unct-B/0.000003	unct-I/0.000002
年	CHN	O/0.999889	Bo-B/0.000002	Bo-I/0.000005	Ch-B/0.000004	Ch-I/0.000007	DT-B/0.000001	DT-I/0.000002	O/0.999889	Si-B/0.000019	Si-I/0.000013	Sy-B/0.000018	Sy-I/0.000018	Tr-B/0.000009	Tr-I/0.000008	unct-B/0.000002	unct-I/0.000003
女	CHN	O/0.999184	Bo-B/0.000008	Bo-I/0.000001	Ch-B/0.000009	Ch-I/0.000006	DT-B/0.000002	DT-I/0.000010	O/0.999184	Si-B/0.000042	Si-I/0.000041	Sy-B/0.000592	Sy-I/0.000034	Tr-B/0.000029	Tr-I/0.000013	unct-B/0.000006	unct-I/0.000023
性	CHN	O/0.998993	Bo-B/0.000009	Bo-I/0.000006	Ch-B/0.000013	Ch-I/0.000008	DT-B/0.000005	DT-I/0.000044	O/0.998993	Si-B/0.000006	Si-I/0.000122	Sy-B/0.000019	Sy-I/0.000644	Tr-B/0.000011	Tr-I/0.000040	unct-B/0.000004	unct-I/0.000076
,	PUNC	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
急	CHN	O/0.995536	Bo-B/0.000460	Bo-I/0.000002	Ch-B/0.000860	Ch-I/0.000001	DT-B/0.000034	DT-I/0.000003	O/0.995536	Si-B/0.001145	Si-I/0.000003	Sy-B/0.001799	Sy-I/0.000001	Tr-B/0.000078	Tr-I/0.000001	unct-B/0.000077	unct-I/0.000002
性	CHN	O/0.996413	Bo-B/0.000003	Bo-I/0.000178	Ch-B/0.000006	Ch-I/0.000488	DT-B/0.000001	DT-I/0.000009	O/0.996413	Si-B/0.000044	Si-I/0.001061	Sy-B/0.000024	Sy-I/0.001684	Tr-B/0.000012	Tr-I/0.000032	unct-B/0.000002	unct-I/0.000042
起	CHN	O/0.996642	Bo-B/0.000008	Bo-I/0.000005	Ch-B/0.000008	Ch-I/0.000086	DT-B/0.000002	DT-I/0.000009	O/0.996642	Si-B/0.000028	Si-I/0.001086	Sy-B/0.000527	Sy-I/0.001496	Tr-B/0.000042	Tr-I/0.000026	unct-B/0.000003	unct-I/0.000032
病	CHN	O/0.996293	Bo-B/0.000015	Bo-I/0.000011	Ch-B/0.000024	Ch-I/0.000043	DT-B/0.000010	DT-I/0.000056	O/0.996293	Si-B/0.000014	Si-I/0.001223	Sy-B/0.000073	Sy-I/0.002052	Tr-B/0.000018	Tr-I/0.000086	unct-B/0.000008	unct-I/0.000074
,	PUNC	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
因	CHN	O/0.999823	Bo-B/0.000037	Bo-I/0.000001	Ch-B/0.000068	Ch-I/0.000000	DT-B/0.000005	DT-I/0.000002	O/0.999823	Si-B/0.000008	Si-I/0.000001	Sy-B/0.000036	Sy-I/0.000000	Tr-B/0.000008	Tr-I/0.000002	unct-B/0.000007	unct-I/0.000001
“	PUNC	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
反	CHN	O/0.995805	Bo-B/0.000568	Bo-I/0.000004	Ch-B/0.000510	Ch-I/0.000008	DT-B/0.000424	DT-I/0.000008	O/0.995805	Si-B/0.000566	Si-I/0.000001	Sy-B/0.000898	Sy-I/0.000003	Tr-B/0.001087	Tr-I/0.000002	unct-B/0.000113	unct-I/0.000003
复	CHN	O/0.995056	Bo-B/0.000039	Bo-I/0.000418	Ch-B/0.000122	Ch-I/0.000481	DT-B/0.000019	DT-I/0.000420	O/0.995056	Si-B/0.000105	Si-I/0.000458	Sy-B/0.000702	Sy-I/0.000891	Tr-B/0.000215	Tr-I/0.000948	unct-B/0.000032	unct-I/0.000093
头	CHN	Sy-B/0.971811	Bo-B/0.000179	Bo-I/0.000257	Ch-B/0.001180	Ch-I/0.000491	DT-B/0.000021	DT-I/0.000124	O/0.021198	Si-B/0.000343	Si-I/0.000410	Sy-B/0.971811	Sy-I/0.001646	Tr-B/0.001395	Tr-I/0.000841	unct-B/0.000045	unct-I/0.000059
晕	CHN	Sy-I/0.972704	Bo-B/0.000023	Bo-I/0.000471	Ch-B/0.000055	Ch-I/0.001729	DT-B/0.000008	DT-I/0.000149	O/0.021135	Si-B/0.000041	Si-I/0.000740	Sy-B/0.000133	Sy-I/0.972704	Tr-B/0.000251	Tr-I/0.002414	unct-B/0.000014	unct-I/0.000134
伴	CHN	Sy-I/0.906882	Bo-B/0.000089	Bo-I/0.000585	Ch-B/0.000174	Ch-I/0.001958	DT-B/0.000118	DT-I/0.001070	O/0.080848	Si-B/0.000140	Si-I/0.000970	Sy-B/0.000860	Sy-I/0.906882	Tr-B/0.000897	Tr-I/0.004758	unct-B/0.000162	unct-I/0.000489
恶	CHN	Sy-I/0.854086	Bo-B/0.000030	Bo-I/0.000252	Ch-B/0.000348	Ch-I/0.002053	DT-B/0.000017	DT-I/0.000894	O/0.002777	Si-B/0.000051	Si-I/0.000970	Sy-B/0.132232	Sy-I/0.854086	Tr-B/0.000087	Tr-I/0.006009	unct-B/0.000013	unct-I/0.000180
心	CHN	Sy-I/0.978120	Bo-B/0.000037	Bo-I/0.000376	Ch-B/0.000345	Ch-I/0.002999	DT-B/0.000046	DT-I/0.001404	O/0.009103	Si-B/0.000068	Si-I/0.001194	Sy-B/0.000034	Sy-I/0.978120	Tr-B/0.000015	Tr-I/0.006008	unct-B/0.000029	unct-I/0.000223
4	NUM	O/0.997943	Bo-B/0.000012	Bo-I/0.000090	Ch-B/0.000011	Ch-I/0.000033	DT-B/0.000026	DT-I/0.000011	O/0.997943	Si-B/0.000019	Si-I/0.000130	Sy-B/0.000003	Sy-I/0.001685	Tr-B/0.000012	Tr-I/0.000016	unct-B/0.000006	unct-I/0.000004
天	CHN	O/0.999679	Bo-B/0.000006	Bo-I/0.000016	Ch-B/0.000014	Ch-I/0.000006	DT-B/0.000003	DT-I/0.000014	O/0.999679	Si-B/0.000006	Si-I/0.000113	Sy-B/0.000009	Sy-I/0.000103	Tr-B/0.000005	Tr-I/0.000020	unct-B/0.000002	unct-I/0.000003
”	PUNC	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
入	CHN	O/0.999754	Bo-B/0.000058	Bo-I/0.000000	Ch-B/0.000008	Ch-I/0.000000	DT-B/0.000006	DT-I/0.000001	O/0.999754	Si-B/0.000008	Si-I/0.000000	Sy-B/0.000116	Sy-I/0.000000	Tr-B/0.000042	Tr-I/0.000001	unct-B/0.000007	unct-I/0.000000
院	CHN	O/0.999747	Bo-B/0.000004	Bo-I/0.000024	Ch-B/0.000005	Ch-I/0.000003	DT-B/0.000002	DT-I/0.000009	O/0.999747	Si-B/0.000004	Si-I/0.000010	Sy-B/0.000013	Sy-I/0.000113	Tr-B/0.000004	Tr-I/0.000046	unct-B/0.000002	unct-I/0.000014
。	PUNC	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
既	CHN	O/0.993726	Bo-B/0.000703	Bo-I/0.000000	Ch-B/0.004725	Ch-I/0.000007	DT-B/0.000064	DT-I/0.000005	O/0.993726	Si-B/0.000036	Si-I/0.000001	Sy-B/0.000331	Sy-I/0.000000	Tr-B/0.000341	Tr-I/0.000002	unct-B/0.000056	unct-I/0.000001
往	CHN	O/0.993909	Bo-B/0.000015	Bo-I/0.000369	Ch-B/0.000070	Ch-I/0.004740	DT-B/0.000008	DT-I/0.000116	O/0.993909	Si-B/0.000015	Si-I/0.000044	Sy-B/0.000046	Sy-I/0.000275	Tr-B/0.000019	Tr-I/0.000333	unct-B/0.000007	unct-I/0.000035
:	PUNC	O/0.999994	Bo-B/0.000000	Bo-I/0.000001	Ch-B/0.000000	Ch-I/0.000001	DT-B/0.000000	DT-I/0.000000	O/0.999994	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000002	Sy-I/0.000001	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
“	PUNC	O/0.997446	Bo-B/0.000056	Bo-I/0.000002	Ch-B/0.000172	Ch-I/0.000001	DT-B/0.000006	DT-I/0.000001	O/0.997446	Si-B/0.000099	Si-I/0.000002	Sy-B/0.002152	Sy-I/0.000005	Tr-B/0.000049	Tr-I/0.000001	unct-B/0.000008	unct-I/0.000001
近	CHN	O/0.962316	Bo-B/0.001275	Bo-I/0.000088	Ch-B/0.025818	Ch-I/0.000178	DT-B/0.000282	DT-I/0.000055	O/0.962316	Si-B/0.004462	Si-I/0.000122	Sy-B/0.001975	Sy-I/0.002100	Tr-B/0.001059	Tr-I/0.000060	unct-B/0.000191	unct-I/0.000019
1	NUM	O/0.992179	Bo-B/0.000068	Bo-I/0.000798	Ch-B/0.000041	Ch-I/0.001811	DT-B/0.000009	DT-I/0.000006	O/0.992179	Si-B/0.000140	Si-I/0.003089	Sy-B/0.000190	Sy-I/0.001591	Tr-B/0.000014	Tr-I/0.000054	unct-B/0.000004	unct-I/0.000006
周	CHN	O/0.981645	Bo-B/0.000500	Bo-I/0.000777	Ch-B/0.001444	Ch-I/0.001123	DT-B/0.000040	DT-I/0.000017	O/0.981645	Si-B/0.002406	Si-I/0.003113	Sy-B/0.006420	Sy-I/0.001727	Tr-B/0.000624	Tr-I/0.000052	unct-B/0.000100	unct-I/0.000011
自	CHN	O/0.980600	Bo-B/0.000116	Bo-I/0.001053	Ch-B/0.000192	Ch-I/0.002118	DT-B/0.000008	DT-I/0.000035	O/0.980600	Si-B/0.000279	Si-I/0.005219	Sy-B/0.001132	Sy-I/0.008183	Tr-B/0.000310	Tr-I/0.000654	unct-B/0.000017	unct-I/0.000083
诉	CHN	O/0.980200	Bo-B/0.000020	Bo-I/0.000809	Ch-B/0.000112	Ch-I/0.001567	DT-B/0.000007	DT-I/0.000031	O/0.980200	Si-B/0.000311	Si-I/0.005170	Sy-B/0.001483	Sy-I/0.009072	Tr-B/0.000280	Tr-I/0.000838	unct-B/0.000018	unct-I/0.000082
有	CHN	O/0.980681	Bo-B/0.000006	Bo-I/0.000081	Ch-B/0.000082	Ch-I/0.000818	DT-B/0.000005	DT-I/0.000023	O/0.980681	Si-B/0.000242	Si-I/0.005175	Sy-B/0.001297	Sy-I/0.010296	Tr-B/0.000267	Tr-I/0.000924	unct-B/0.000017	unct-I/0.000086
感	CHN	O/0.936166	Bo-B/0.000127	Bo-I/0.000029	Ch-B/0.000264	Ch-I/0.000833	DT-B/0.000041	DT-I/0.000148	O/0.936166	Si-B/0.002087	Si-I/0.005522	Sy-B/0.040035	Sy-I/0.011835	Tr-B/0.001340	Tr-I/0.001274	unct-B/0.000071	unct-I/0.000229
冒	CHN	O/0.934574	Bo-B/0.000124	Bo-I/0.000145	Ch-B/0.000136	Ch-I/0.000898	DT-B/0.000046	DT-I/0.000413	O/0.934574	Si-B/0.000082	Si-I/0.007809	Sy-B/0.000363	Sy-I/0.052227	Tr-B/0.000099	Tr-I/0.002602	unct-B/0.000039	unct-I/0.000440
,	PUNC	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
自	CHN	O/0.992151	Bo-B/0.004365	Bo-I/0.000006	Ch-B/0.001591	Ch-I/0.000002	DT-B/0.000077	DT-I/0.000005	O/0.992151	Si-B/0.000333	Si-I/0.000001	Sy-B/0.000730	Sy-I/0.000001	Tr-B/0.000526	Tr-I/0.000002	unct-B/0.000207	unct-I/0.000003
觉	CHN	O/0.991790	Bo-B/0.000038	Bo-I/0.004048	Ch-B/0.000101	Ch-I/0.001440	DT-B/0.000048	DT-I/0.000133	O/0.991790	Si-B/0.000161	Si-I/0.000281	Sy-B/0.000202	Sy-I/0.000670	Tr-B/0.000304	Tr-I/0.000505	unct-B/0.000074	unct-I/0.000207
头	CHN	Sy-B/0.998608	Bo-B/0.000095	Bo-I/0.000083	Ch-B/0.000030	Ch-I/0.000132	DT-B/0.000003	DT-I/0.000015	O/0.000247	Si-B/0.000011	Si-I/0.000107	Sy-B/0.998608	Sy-I/0.000391	Tr-B/0.000101	Tr-I/0.000162	unct-B/0.000003	unct-I/0.000013
痛	CHN	Sy-I/0.998654	Bo-B/0.000003	Bo-I/0.000243	Ch-B/0.000002	Ch-I/0.000171	DT-B/0.000002	DT-I/0.000105	O/0.000238	Si-B/0.000001	Si-I/0.000157	Sy-B/0.000002	Sy-I/0.998654	Tr-B/0.000002	Tr-I/0.000381	unct-B/0.000002	unct-I/0.000037
、	PUNC	O/0.999984	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999984	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000014	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
恶	CHN	Sy-B/0.861529	Bo-B/0.022646	Bo-I/0.000044	Ch-B/0.010403	Ch-I/0.000010	DT-B/0.000487	DT-I/0.000033	O/0.068049	Si-B/0.027800	Si-I/0.000022	Sy-B/0.861529	Sy-I/0.000059	Tr-B/0.007931	Tr-I/0.000009	unct-B/0.000965	unct-I/0.000015
心	CHN	Sy-I/0.858104	Bo-B/0.000042	Bo-I/0.023035	Ch-B/0.000126	Ch-I/0.010206	DT-B/0.000053	DT-I/0.000890	O/0.071615	Si-B/0.000137	Si-I/0.027330	Sy-B/0.000323	Sy-I/0.858104	Tr-B/0.000049	Tr-I/0.007082	unct-B/0.000045	unct-I/0.000961
不	CHN	Sy-I/0.672406	Bo-B/0.000037	Bo-I/0.000256	Ch-B/0.000010	Ch-I/0.000886	DT-B/0.000012	DT-I/0.000383	O/0.300971	Si-B/0.000026	Si-I/0.021516	Sy-B/0.000695	Sy-I/0.672406	Tr-B/0.000088	Tr-I/0.002035	unct-B/0.000025	unct-I/0.000656
