# 0.264281
①	OTHER	O	O/0.997338	Bo-B/0.000123	Bo-I/0.000127	Ch-B/0.000145	Ch-I/0.000099	O/0.997338	Si-B/0.000379	Si-I/0.000149	Sy-B/0.000947	Sy-I/0.000357	Tr-B/0.000189	Tr-I/0.000147
血	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
不	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
足	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
?	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
低	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
血	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
糖	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
?	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
②	OTHER	O	O/0.999768	Bo-B/0.000014	Bo-I/0.000004	Ch-B/0.000083	Ch-I/0.000008	O/0.999768	Si-B/0.000044	Si-I/0.000026	Sy-B/0.000015	Sy-I/0.000006	Tr-B/0.000019	Tr-I/0.000013
高	CHN	R-B	Si-B/0.998105	Bo-B/0.000170	Bo-I/0.000000	Ch-B/0.000514	Ch-I/0.000000	O/0.000004	Si-B/0.998105	Si-I/0.000056	Sy-B/0.000235	Sy-I/0.000000	Tr-B/0.000915	Tr-I/0.000000
血	CHN	R-I	Si-I/0.998916	Bo-B/0.000000	Bo-I/0.000089	Ch-B/0.000001	Ch-I/0.000425	O/0.000000	Si-B/0.000022	Si-I/0.998916	Sy-B/0.000000	Sy-I/0.000092	Tr-B/0.000000	Tr-I/0.000454
压	CHN	R-I	Si-I/0.998587	Bo-B/0.000003	Bo-I/0.000196	Ch-B/0.000014	Ch-I/0.000605	O/0.000019	Si-B/0.000007	Si-I/0.998587	Sy-B/0.000002	Sy-I/0.000056	Tr-B/0.000003	Tr-I/0.000509
病	CHN	O	O/0.999903	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999903	Si-B/0.000000	Si-I/0.000095	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
2	NUM	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
级	CHN	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000001	Tr-I/0.000000
(	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
高	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
危	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
)	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
@	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
患	CHN	O	O/0.999999	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
者	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
为	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
老	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
年	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
女	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
性	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
急	CHN	O	O/0.999999	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
性	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
起	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
病	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
因	CHN	O	O/0.999998	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
“	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
反	CHN	O	O/0.999999	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
复	CHN	O	O/0.999987	Bo-B/0.000002	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999987	Si-B/0.000002	Si-I/0.000001	Sy-B/0.000002	Sy-I/0.000002	Tr-B/0.000002	Tr-I/0.000000
头	CHN	R-B	Sy-B/0.997062	Bo-B/0.001945	Bo-I/0.000000	Ch-B/0.000250	Ch-I/0.000000	O/0.000006	Si-B/0.000303	Si-I/0.000000	Sy-B/0.997062	Sy-I/0.000019	Tr-B/0.000414	Tr-I/0.000000
晕	CHN	R-I	Sy-I/0.997624	Bo-B/0.000001	Bo-I/0.001845	Ch-B/0.000000	Ch-I/0.000199	O/0.000006	Si-B/0.000001	Si-I/0.000125	Sy-B/0.000003	Sy-I/0.997624	Tr-B/0.000002	Tr-I/0.000194
伴	CHN	O	O/0.999867	Bo-B/0.000003	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999867	Si-B/0.000003	Si-I/0.000001	Sy-B/0.000006	Sy-I/0.000116	Tr-B/0.000003	Tr-I/0.000001
恶	CHN	R-B	Sy-B/0.999860	Bo-B/0.000009	Bo-I/0.000000	Ch-B/0.000053	Ch-I/0.000000	O/0.000001	Si-B/0.000034	Si-I/0.000000	Sy-B/0.999860	Sy-I/0.000012	Tr-B/0.000030	Tr-I/0.000000
心	CHN	R-I	Sy-I/0.999929	Bo-B/0.000000	Bo-I/0.000005	Ch-B/0.000000	Ch-I/0.000045	O/0.000001	Si-B/0.000000	Si-I/0.000012	Sy-B/0.000001	Sy-I/0.999929	Tr-B/0.000000	Tr-I/0.000007
4	NUM	O	O/0.999975	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999975	Si-B/0.000001	Si-I/0.000001	Sy-B/0.000001	Sy-I/0.000022	Tr-B/0.000000	Tr-I/0.000000
天	CHN	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000001	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
”	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
入	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
院	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
。	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
既	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
往	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
:	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
“	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
近	CHN	O	O/0.999997	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000002	Ch-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
1	NUM	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
周	CHN	O	O/0.999999	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
自	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
诉	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
有	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
感	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
冒	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
自	CHN	O	O/0.999998	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
觉	CHN	O	O/0.999988	Bo-B/0.000004	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999988	Si-B/0.000002	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000001	Tr-B/0.000002	Tr-I/0.000001
头	CHN	R-B	Sy-B/0.997105	Bo-B/0.000165	Bo-I/0.000000	Ch-B/0.002378	Ch-I/0.000001	O/0.000003	Si-B/0.000121	Si-I/0.000000	Sy-B/0.997105	Sy-I/0.000008	Tr-B/0.000220	Tr-I/0.000000
痛	CHN	R-I	Sy-I/0.997075	Bo-B/0.000001	Bo-I/0.000117	Ch-B/0.000000	Ch-I/0.002520	O/0.000003	Si-B/0.000001	Si-I/0.000100	Sy-B/0.000004	Sy-I/0.997075	Tr-B/0.000001	Tr-I/0.000177
、	PUNC	O	O/0.999992	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999992	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000007	Tr-B/0.000000	Tr-I/0.000000
恶	CHN	R-B	Sy-B/0.996265	Bo-B/0.002238	Bo-I/0.000001	Ch-B/0.000930	Ch-I/0.000000	O/0.000003	Si-B/0.000187	Si-I/0.000000	Sy-B/0.996265	Sy-I/0.000010	Tr-B/0.000366	Tr-I/0.000000
心	CHN	R-I	Sy-I/0.996602	Bo-B/0.000005	Bo-I/0.002217	Ch-B/0.000001	Ch-I/0.000876	O/0.000011	Si-B/0.000002	Si-I/0.000079	Sy-B/0.000002	Sy-I/0.996602	Tr-B/0.000001	Tr-I/0.000202
不	CHN	O	O/0.999984	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999984	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000002	Sy-I/0.000014	Tr-B/0.000000	Tr-I/0.000000
适	CHN	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000001	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
自	CHN	O	O/0.999998	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
服	CHN	O	O/0.999988	Bo-B/0.000002	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999988	Si-B/0.000002	Si-I/0.000001	Sy-B/0.000002	Sy-I/0.000001	Tr-B/0.000003	Tr-I/0.000001
中	CHN	R-B	Tr-B/0.902181	Bo-B/0.008890	Bo-I/0.000001	Ch-B/0.005973	Ch-I/0.000001	O/0.000020	Si-B/0.001400	Si-I/0.000002	Sy-B/0.081463	Sy-I/0.000021	Tr-B/0.902181	Tr-I/0.000048
药	CHN	R-I	Tr-I/0.900055	Bo-B/0.000016	Bo-I/0.009120	Ch-B/0.000007	Ch-I/0.005831	O/0.000095	Si-B/0.000025	Si-I/0.001239	Sy-B/0.000043	Sy-I/0.083542	Tr-B/0.000026	Tr-I/0.900055
后	CHN	O	O/0.999966	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999966	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000001	Tr-B/0.000000	Tr-I/0.000031
症	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
状	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
有	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
所	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
缓	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
解	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
”	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
;	PUNC	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
“	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
近	CHN	O	O/0.999997	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000002	Ch-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
2	NUM	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
周	CHN	O	O/0.999999	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
开	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
始	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
自	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
觉	CHN	O	O/0.999988	Bo-B/0.000005	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999988	Si-B/0.000001	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000002	Tr-I/0.000000
左	CHN	R-B	Bo-B/0.999215	Bo-B/0.999215	Bo-I/0.000010	Ch-B/0.000047	Ch-I/0.000000	O/0.000007	Si-B/0.000280	Si-I/0.000000	Sy-B/0.000111	Sy-I/0.000000	Tr-B/0.000330	Tr-I/0.000000
