# 0.981123
今	CHN	O	O/0.999976	Bo-B/0.000004	Bo-I/0.000001	Ch-B/0.000000	Ch-I/0.000000	O/0.999976	Si-B/0.000003	Si-I/0.000001	Sy-B/0.000010	Sy-I/0.000002	Tr-B/0.000001	Tr-I/0.000001
右	CHN	R-B	Bo-B/0.999674	Bo-B/0.999674	Bo-I/0.000005	Ch-B/0.000020	Ch-I/0.000000	O/0.000002	Si-B/0.000062	Si-I/0.000000	Sy-B/0.000014	Sy-I/0.000000	Tr-B/0.000223	Tr-I/0.000000
膝	CHN	R-I	Bo-I/0.999790	Bo-B/0.000006	Bo-I/0.999790	Ch-B/0.000000	Ch-I/0.000009	O/0.000000	Si-B/0.000000	Si-I/0.000020	Sy-B/0.000000	Sy-I/0.000006	Tr-B/0.000000	Tr-I/0.000167
内	CHN	R-I	Bo-I/0.999746	Bo-B/0.000011	Bo-I/0.999746	Ch-B/0.000000	Ch-I/0.000008	O/0.000001	Si-B/0.000000	Si-I/0.000018	Sy-B/0.000001	Sy-I/0.000040	Tr-B/0.000000	Tr-I/0.000175
侧	CHN	R-I	Bo-I/0.999655	Bo-B/0.000003	Bo-I/0.999655	Ch-B/0.000002	Ch-I/0.000009	O/0.000024	Si-B/0.000004	Si-I/0.000020	Sy-B/0.000006	Sy-I/0.000108	Tr-B/0.000004	Tr-I/0.000166
疼	CHN	R-B	Sy-B/0.999689	Bo-B/0.000074	Bo-I/0.000003	Ch-B/0.000172	Ch-I/0.000000	O/0.000001	Si-B/0.000029	Si-I/0.000000	Sy-B/0.999689	Sy-I/0.000002	Tr-B/0.000029	Tr-I/0.000000
痛	CHN	R-I	Sy-I/0.999596	Bo-B/0.000002	Bo-I/0.000082	Ch-B/0.000001	Ch-I/0.000235	O/0.000008	Si-B/0.000002	Si-I/0.000034	Sy-B/0.000004	Sy-I/0.999596	Tr-B/0.000002	Tr-I/0.000033
减	CHN	O	O/0.999991	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999991	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000002	Sy-I/0.000006	Tr-B/0.000000	Tr-I/0.000000
轻	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
、	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
活	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
动	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
轻	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
度	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
受	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
限	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
查	CHN	R-B	Ch-B/0.999932	Bo-B/0.000028	Bo-I/0.000000	Ch-B/0.999932	Ch-I/0.000004	O/0.000000	Si-B/0.000003	Si-I/0.000000	Sy-B/0.000028	Sy-I/0.000000	Tr-B/0.000005	Tr-I/0.000000
体	CHN	R-I	Ch-I/0.999919	Bo-B/0.000000	Bo-I/0.000033	Ch-B/0.000000	Ch-I/0.999919	O/0.000001	Si-B/0.000000	Si-I/0.000004	Sy-B/0.000000	Sy-I/0.000039	Tr-B/0.000000	Tr-I/0.000003
:	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
一	CHN	O	O/0.999998	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
般	CHN	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
情	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
况	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
可	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
心	CHN	R-B	Ch-B/0.997890	Bo-B/0.001583	Bo-I/0.000000	Ch-B/0.997890	Ch-I/0.000046	O/0.000005	Si-B/0.000235	Si-I/0.000000	Sy-B/0.000117	Sy-I/0.000000	Tr-B/0.000123	Tr-I/0.000000
肺	CHN	R-I	Ch-I/0.999191	Bo-B/0.000000	Bo-I/0.000606	Ch-B/0.000015	Ch-I/0.999191	O/0.000001	Si-B/0.000000	Si-I/0.000106	Sy-B/0.000000	Sy-I/0.000035	Tr-B/0.000000	Tr-I/0.000045
腹	CHN	R-I	Ch-I/0.999703	Bo-B/0.000000	Bo-I/0.000235	Ch-B/0.000004	Ch-I/0.999703	O/0.000000	Si-B/0.000000	Si-I/0.000040	Sy-B/0.000000	Sy-I/0.000004	Tr-B/0.000000	Tr-I/0.000014
查	CHN	R-I	Ch-I/0.999792	Bo-B/0.000000	Bo-I/0.000160	Ch-B/0.000026	Ch-I/0.999792	O/0.000000	Si-B/0.000000	Si-I/0.000015	Sy-B/0.000000	Sy-I/0.000002	Tr-B/0.000000	Tr-I/0.000006
体	CHN	R-I	Ch-I/0.999780	Bo-B/0.000002	Bo-I/0.000179	Ch-B/0.000001	Ch-I/0.999780	O/0.000003	Si-B/0.000001	Si-I/0.000018	Sy-B/0.000000	Sy-I/0.000004	Tr-B/0.000001	Tr-I/0.000011
未	CHN	O	O/0.999996	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000003	O/0.999996	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
见	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
异	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
常	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000001	Tr-B/0.000000	Tr-I/0.000000
。	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
右	CHN	R-B	Bo-B/0.999439	Bo-B/0.999439	Bo-I/0.000002	Ch-B/0.000448	Ch-I/0.000000	O/0.000001	Si-B/0.000047	Si-I/0.000000	Sy-B/0.000026	Sy-I/0.000000	Tr-B/0.000037	Tr-I/0.000000
膝	CHN	R-I	Bo-I/0.999442	Bo-B/0.000005	Bo-I/0.999442	Ch-B/0.000000	Ch-I/0.000432	O/0.000009	Si-B/0.000001	Si-I/0.000032	Sy-B/0.000001	Sy-I/0.000050	Tr-B/0.000001	Tr-I/0.000027
内	CHN	O	O/0.999985	Bo-B/0.000001	Bo-I/0.000014	Ch-B/0.000000	Ch-I/0.000000	O/0.999985	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
侧	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
、	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
右	CHN	R-B	Bo-B/0.992771	Bo-B/0.992771	Bo-I/0.000010	Ch-B/0.003779	Ch-I/0.000001	O/0.000002	Si-B/0.000970	Si-I/0.000000	Sy-B/0.000078	Sy-I/0.000000	Tr-B/0.002389	Tr-I/0.000001
小	CHN	R-I	Bo-I/0.992784	Bo-B/0.000017	Bo-I/0.992784	Ch-B/0.000001	Ch-I/0.003800	O/0.000001	Si-B/0.000000	Si-I/0.000934	Sy-B/0.000006	Sy-I/0.000085	Tr-B/0.000001	Tr-I/0.002370
腿	CHN	R-I	Bo-I/0.992574	Bo-B/0.000006	Bo-I/0.992574	Ch-B/0.000001	Ch-I/0.003818	O/0.000013	Si-B/0.000002	Si-I/0.000933	Sy-B/0.000005	Sy-I/0.000173	Tr-B/0.000003	Tr-I/0.002472
、	PUNC	O	O/0.999980	Bo-B/0.000000	Bo-I/0.000019	Ch-B/0.000000	Ch-I/0.000000	O/0.999980	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
右	CHN	R-B	Bo-B/0.994746	Bo-B/0.994746	Bo-I/0.000021	Ch-B/0.001149	Ch-I/0.000000	O/0.000003	Si-B/0.000554	Si-I/0.000000	Sy-B/0.002539	Sy-I/0.000001	Tr-B/0.000986	Tr-I/0.000000
踝	CHN	R-I	Bo-I/0.994876	Bo-B/0.000009	Bo-I/0.994876	Ch-B/0.000001	Ch-I/0.001099	O/0.000024	Si-B/0.000003	Si-I/0.000412	Sy-B/0.000004	Sy-I/0.002746	Tr-B/0.000004	Tr-I/0.000823
轻	CHN	O	O/0.999991	Bo-B/0.000001	Bo-I/0.000007	Ch-B/0.000000	Ch-I/0.000000	O/0.999991	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
度	CHN	O	O/0.999988	Bo-B/0.000003	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999988	Si-B/0.000001	Si-I/0.000001	Sy-B/0.000004	Sy-I/0.000001	Tr-B/0.000002	Tr-I/0.000000
肿	CHN	R-B	Sy-B/0.999060	Bo-B/0.000492	Bo-I/0.000000	Ch-B/0.000117	Ch-I/0.000000	O/0.000002	Si-B/0.000097	Si-I/0.000000	Sy-B/0.999060	Sy-I/0.000015	Tr-B/0.000216	Tr-I/0.000000
胀	CHN	R-I	Sy-I/0.999144	Bo-B/0.000002	Bo-I/0.000556	Ch-B/0.000000	Ch-I/0.000097	O/0.000008	Si-B/0.000002	Si-I/0.000052	Sy-B/0.000003	Sy-I/0.999144	Tr-B/0.000002	Tr-I/0.000132
略	CHN	O	O/0.999992	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999992	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000007	Tr-B/0.000000	Tr-I/0.000000
消	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
退	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
压	CHN	R-B	Ch-B/0.999804	Bo-B/0.000128	Bo-I/0.000000	Ch-B/0.999804	Ch-I/0.000002	O/0.000000	Si-B/0.000017	Si-I/0.000000	Sy-B/0.000023	Sy-I/0.000000	Tr-B/0.000025	Tr-I/0.000000
痛	CHN	R-I	Ch-I/0.999762	Bo-B/0.000001	Bo-I/0.000120	Ch-B/0.000000	Ch-I/0.999762	O/0.000005	Si-B/0.000001	Si-I/0.000017	Sy-B/0.000001	Sy-I/0.000075	Tr-B/0.000001	Tr-I/0.000016
阳	CHN	O	O/0.999996	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000002	O/0.999996	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
性	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
。	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
右	CHN	R-B	Bo-B/0.999705	Bo-B/0.999705	Bo-I/0.000005	Ch-B/0.000144	Ch-I/0.000000	O/0.000001	Si-B/0.000067	Si-I/0.000000	Sy-B/0.000004	Sy-I/0.000000	Tr-B/0.000074	Tr-I/0.000000
膝	CHN	R-I	Bo-I/0.999796	Bo-B/0.000012	Bo-I/0.999796	Ch-B/0.000000	Ch-I/0.000103	O/0.000000	Si-B/0.000000	Si-I/0.000044	Sy-B/0.000000	Sy-I/0.000001	Tr-B/0.000000	Tr-I/0.000044
关	CHN	R-I	Bo-I/0.999798	Bo-B/0.000012	Bo-I/0.999798	Ch-B/0.000000	Ch-I/0.000094	O/0.000000	Si-B/0.000000	Si-I/0.000047	Sy-B/0.000000	Sy-I/0.000007	Tr-B/0.000000	Tr-I/0.000042
节	CHN	R-I	Bo-I/0.999766	Bo-B/0.000002	Bo-I/0.999766	Ch-B/0.000001	Ch-I/0.000090	O/0.000008	Si-B/0.000001	Si-I/0.000053	Sy-B/0.000002	Sy-I/0.000027	Tr-B/0.000001	Tr-I/0.000049
稳	CHN	O	O/0.999993	Bo-B/0.000000	Bo-I/0.000006	Ch-B/0.000000	Ch-I/0.000000	O/0.999993	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
定	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
性	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
可	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
。	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
患	CHN	O	O/0.999998	Bo-B/0.000002	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
者	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
要	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
求	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
出	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
院	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
办	CHN	O	O/0.999999	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
理	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
出	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
院	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
。	PUNC	O	O/0.999988	Bo-B/0.000001	Bo-I/0.000001	Ch-B/0.000002	Ch-I/0.000000	O/0.999988	Si-B/0.000002	Si-I/0.000001	Sy-B/0.000002	Sy-I/0.000001	Tr-B/0.000002	Tr-I/0.000001

